Roll_Radians,Pitch_Radians,Yaw_Radians,Latitude,Longitude,Acc_Net,Altitude,Voltage,System_State
0.628,0.183,-2.21,0.0,0.0,1.407,455.192,0.206,0
0.838,0.12,-2.319,0.0,0.0,1.18,455.21,0.206,0
1.159,-0.05,-2.463,0.0,0.0,1.286,455.215,0.206,0
1.375,-0.122,-2.585,0.0,0.0,1.243,455.228,0.206,0
1.479,-0.185,-2.664,0.0,0.0,1.405,455.241,0.206,0
1.416,-0.153,-2.646,0.0,0.0,1.401,455.256,0.206,0
1.285,-0.111,-2.571,0.0,0.0,1.572,455.265,0.206,0
1.167,-0.043,-2.504,0.0,0.0,1.424,455.226,0.206,0
1.097,0.015,-2.46,0.0,0.0,1.373,455.212,0.206,0
1.123,-0.0,-2.468,0.0,0.0,1.394,455.241,0.206,0
1.18,-0.051,-2.473,0.0,0.0,1.323,455.25,0.206,0
1.201,-0.072,-2.482,0.0,0.0,1.377,455.253,0.206,0
1.211,-0.054,-2.482,0.0,0.0,1.261,455.283,0.206,0
1.227,-0.037,-2.475,0.0,0.0,1.261,455.3,0.206,0
1.25,-0.032,-2.462,0.0,0.0,1.232,455.304,0.206,0
1.253,-0.081,-2.451,0.0,0.0,1.08,455.327,0.206,0
1.243,-0.2,-2.461,0.0,0.0,0.814,455.33,0.206,0
1.252,-0.218,-2.45,0.0,0.0,1.584,455.324,0.206,0
1.226,-0.092,-2.436,0.0,0.0,1.739,455.3,0.206,0
1.216,-0.051,-2.381,0.0,0.0,1.342,455.29,0.206,0
1.175,-0.046,-2.383,0.0,0.0,1.221,455.253,0.206,0
1.217,-0.058,-2.38,0.0,0.0,1.267,455.276,0.206,0
1.21,-0.041,-2.412,0.0,0.0,1.394,455.245,0.206,0
1.224,0.013,-2.447,0.0,0.0,1.409,455.253,0.206,0
1.276,0.017,-2.428,0.0,0.0,1.319,455.265,0.206,0
1.237,0.005,-2.434,0.0,0.0,1.308,455.244,0.206,0
1.206,-0.009,-2.459,0.0,0.0,1.368,455.288,0.206,0
1.195,-0.021,-2.481,0.0,0.0,1.26,455.27,0.206,0
1.222,-0.01,-2.478,0.0,0.0,1.327,455.277,0.206,0
1.244,0.013,-2.471,0.0,0.0,1.249,455.28,0.206,0
1.26,0.037,-2.466,0.0,0.0,1.178,455.283,0.206,0
1.269,0.039,-2.456,0.0,0.0,1.205,455.323,0.217,0
1.266,0.021,-2.447,0.0,0.0,1.273,455.323,0.206,0
1.281,0.021,-2.417,0.0,0.0,1.27,455.384,0.206,0
1.295,0.041,-2.391,0.0,0.0,1.202,455.391,0.206,0
1.307,0.046,-2.377,0.0,0.0,1.166,455.414,0.206,0
1.313,0.055,-2.365,0.0,0.0,1.302,455.42,0.206,0
1.326,0.061,-2.356,0.0,0.0,1.234,455.452,0.206,0
1.344,0.074,-2.344,0.0,0.0,1.265,455.485,0.206,0
1.364,0.075,-2.335,0.0,0.0,1.241,455.487,0.206,0
1.396,0.051,-2.295,0.0,0.0,1.118,455.52,0.206,0
1.373,0.022,-2.271,0.0,0.0,1.241,455.529,0.206,0
1.308,0.015,-2.224,0.0,0.0,1.238,455.562,0.206,0
1.091,0.125,-2.157,0.0,0.0,1.216,455.538,0.206,0
0.877,0.197,-2.079,0.0,0.0,1.1,455.564,0.206,0
0.614,0.187,-2.066,0.0,0.0,1.367,455.581,0.206,0
0.551,0.154,-2.017,0.0,0.0,1.532,455.547,0.217,0
0.611,0.116,-1.989,0.0,0.0,1.424,455.517,0.206,0
0.689,0.034,-2.027,0.0,0.0,1.398,455.475,0.206,0
0.872,-0.115,-2.04,0.0,0.0,1.471,455.425,0.206,0
1.065,-0.168,-2.098,0.0,0.0,1.352,455.383,0.206,0
